bloque,factor,top_item,carga_max
estudiante,F1_estudiante,ST338Q07JA,0.8388499518263146
estudiante,F2_estudiante,ST250Q05JA,0.6211402408372394
estudiante,F3_estudiante,ST266Q04JA,0.4836038062137944
estudiante,F4_estudiante,ST268Q08JA,0.8653464346006543
estudiante,F5_estudiante,ST341Q02JA,0.6979901202195421
estudiante,F6_estudiante,ST250D07JA,0.8314456737255201
estudiante,F7_estudiante,ST265Q03JA,0.6023881751454507
estudiante,F8_estudiante,ST297Q06JA,0.5452237434050728
estudiante,F9_estudiante,ST292Q06JA,0.5128356206856994
escuela_a,F1_escuela_a,SC035Q10TB,0.5122002825955491
escuela_a,F2_escuela_a,SC035Q08TA,0.7635669047821644
escuela_a,F3_escuela_a,SC017Q06NA,0.6815378706570344
escuela_a,F4_escuela_a,SC017Q04NA,0.5829405024131331
escuela_a,F5_escuela_a,SC037Q05NA,0.5335364962348824
escuela_a,F6_escuela_a,SC155Q09HA,0.5506702865701135
escuela_b,F1_escuela_b,SC184Q06JA,0.7407753488779322
escuela_b,F2_escuela_b,SC193Q06WA,0.7874299675077757
escuela_b,F3_escuela_b,SC188Q03JA,0.585395329412902
escuela_b,F4_escuela_b,SC190Q05JA,0.5847364110226186
escuela_b,F5_escuela_b,SC182Q08JA02,0.7993652765901731
escuela_b,F6_escuela_b,SC173Q05JA,0.4910963190909679
escuela_c,F1_escuela_c,SC202Q04JA,0.8279015627132641
escuela_c,F2_escuela_c,SC208Q03JA,0.68734888435273
escuela_c,F3_escuela_c,SC223Q06JA,0.7586759074832554
escuela_c,F4_escuela_c,SC200Q02JA,0.93337299635922
escuela_c,F5_escuela_c,SC204Q05JA,0.5114075690688857
escuela_c,F6_escuela_c,SC208Q08JA,0.58327362598293
finanzas,F1_finanzas,FL162Q05HA,0.8054216327430963
finanzas,F2_finanzas,FL164Q05HA,0.7081225091107767
finanzas,F3_finanzas,FL171Q04JA,0.6545616103556198
finanzas,F4_finanzas,FL169Q03HA,0.5272255227510354
finanzas,F5_finanzas,FL164Q10HA,0.7660575001270404
finanzas,F6_finanzas,FL166Q06HA,0.7176394304546035
finanzas,F7_finanzas,FL174Q06JA,0.7108064155053216
finanzas,F8_finanzas,FL167Q01HA,0.5003523287267361
otros,F1_otros,PRIVATESCH,0.9083548314867234
otros,F2_otros,ISCEDP,0.9867507017335624
otros,F3_otros,MS1_ItemSet,0.9952222091265944
otros,F4_otros,RCORE_TEST,0.7350333860897607
otros,F5_otros,MCLSIZE,0.9346530492496596
