,Clase 5 — Rendimiento medio,Clase 4 — Rendimiento medio-alto B,Clase 1 — Rendimiento destacado,Clase 3 — Rendimiento medio-alto A,Clase 6 — Rendimiento medio-bajo,Clase 7 — Rendimiento bajo,Clase 2 — Rendimiento alto
Actividades creativas fuera de la escuela,1.028,-0.624,1.054,-0.115,-0.596,0.837,-0.442
Capital cultural y recursos del hogar,0.759,0.643,-0.091,0.062,-0.045,-0.143,-0.622
Exposición a violencia y acoso escolar,-0.061,-0.154,0.034,-0.251,0.033,0.273,-0.013
Estrategias de aprendizaje matemático,0.015,-0.08,0.082,-0.121,-0.09,0.458,-0.177
Expectativas educativas y aspiraciones,0.41,0.018,0.278,0.048,-0.158,0.12,-0.262
Recursos digitales del hogar,-0.158,-0.109,-0.116,-0.02,0.192,-0.051,0.049
Sentido de pertenencia escolar,0.075,-0.048,0.073,-0.06,-0.076,0.131,-0.027
Participación en clases de matemáticas,0.215,-0.127,0.028,0.057,-0.222,0.758,-0.364
Ansiedad matemática,0.029,-0.096,-0.014,0.078,-0.017,0.141,-0.055
Uso de tecnología digital en la escuela,0.098,0.091,0.034,-0.46,0.15,-0.05,-0.058
Uso de evaluaciones estandarizadas,0.218,0.175,-0.175,-0.579,-0.007,-0.027,0.103
Escasez de recursos educativos,0.751,0.775,-0.247,0.146,-0.11,-0.216,-0.559
Escasez de personal docente,0.587,0.629,-0.276,0.136,-0.205,-0.273,-0.235
Autonomía de gestión escolar,0.67,0.667,-0.262,0.155,-0.195,-0.247,-0.339
Actitudes inclusivas del director,0.109,0.12,-0.058,0.223,0.013,-0.101,-0.134
Retroalimentación docente formativa,0.574,0.571,-0.242,0.251,-0.234,-0.283,-0.212
Liderazgo instruccional del director,-0.251,-0.178,0.149,-0.316,0.22,0.064,0.03
Colaboración entre docentes,0.112,0.128,-0.04,-0.429,0.009,0.064,-0.012
Disponibilidad de TIC en el aula,-0.054,0.028,-0.027,-0.584,0.16,0.071,0.031
Frecuencia de uso de recursos digitales,0.221,0.27,-0.123,0.12,-0.028,-0.125,-0.162
Comunicación escuela-familia,0.044,0.005,-0.105,0.282,0.029,-0.095,-0.048
Tipo de gestión y financiamiento escolar,1.334,1.385,-0.542,0.17,-0.489,-0.514,-0.539
Prácticas pedagógicas post-COVID,-0.207,-0.106,0.139,-1.459,0.417,0.2,0.11
Adaptaciones escolares durante COVID-19,-0.253,-0.224,0.134,-0.693,0.081,0.18,0.268
Programas de bienestar estudiantil,-0.03,-0.108,0.01,-0.219,0.052,0.097,0.047
Obstáculos para el aprendizaje matemático,0.442,0.484,-0.158,-0.052,-0.126,-0.191,-0.184
Uso pedagógico avanzado de TIC,-0.32,-0.272,-0.143,1.197,-0.038,-0.051,0.007
Comprensión de conceptos financieros básicos,0.472,0.204,0.057,0.235,0.289,0.16,-0.867
Aplicación de conocimiento financiero,0.291,0.124,0.086,0.243,0.129,0.16,-0.587
Toma de decisiones financieras en riesgo,0.484,0.137,-0.032,-0.065,-0.007,0.438,-0.58
Gestión del dinero y ahorro personal,0.085,-0.031,0.059,-0.138,-0.174,0.108,0.107
Comprensión de productos financieros complejos,0.037,-0.028,-0.016,-0.042,-0.109,-0.024,0.15
Planificación financiera a largo plazo,0.115,-0.103,-0.007,0.197,0.123,0.285,-0.379
Experiencias financieras en el hogar,0.239,-0.037,0.308,0.075,-0.003,0.067,-0.285
Acceso y uso de servicios financieros,0.185,-0.04,0.122,0.077,0.042,0.118,-0.262
Trayectoria y nivel educativo del estudiante,0.365,0.252,0.165,0.158,-0.048,-0.116,-0.337
Tamaño del grupo-clase,0.054,-0.052,0.02,-0.004,-0.007,0.019,-0.003
