,Clase 1 — Rendimiento destacado,Clase 2 — Rendimiento medio,Clase 3 — Rendimiento medio-bajo,Clase 4 — Rendimiento bajo
Capital cultural y recursos del hogar,0.775,0.234,-0.26,-0.471
Estrategias de aprendizaje matematico,-0.291,0.005,-0.006,0.162
Recursos digitales del hogar,-0.132,-0.121,0.054,0.131
Sentido de pertenencia escolar,0.008,-0.003,0.001,-0.003
Exposicion a violencia e inseguridad escolar,-0.113,0.172,-0.04,-0.036
Participacion en clases de matematicas,0.015,0.288,-0.028,-0.191
Relaciones con companeros y pertenencia social,0.072,0.023,0.049,-0.079
Nivel educativo de los padres,0.569,0.027,-0.164,-0.26
Autoconcepto matematico,-0.096,-0.028,0.071,0.04
Participacion en actividades matematicas extracurriculares,0.134,0.075,-0.049,-0.103
Retroalimentacion docente formativa,0.932,-0.37,0.18,-0.351
Liderazgo instruccional del director,-0.094,0.065,-0.323,0.159
Colaboracion entre docentes,-0.213,0.169,-0.398,0.189
Disponibilidad de TIC en el aula,0.045,-0.001,-0.319,0.124
Frecuencia de uso de recursos digitales,0.137,-0.087,-0.064,0.013
Comunicacion escuela-familia,-0.144,0.036,0.124,-0.002
Tipo de gestion y financiamiento escolar,1.764,-0.483,-0.578,-0.387
Adaptaciones escolares durante COVID-19,-0.417,0.154,-0.35,0.291
Practicas pedagogicas post-COVID,-0.403,0.341,-1.125,0.515
Programas de bienestar estudiantil,-0.08,0.139,-0.316,0.097
Obstaculos percibidos y falta de apoyo externo,0.799,-0.207,-0.051,-0.282
Uso pedagogico avanzado de TIC,-0.154,-0.097,0.554,-0.105
Comprension de conceptos financieros basicos,0.376,0.647,0.012,-0.657
Aplicacion de conocimiento financiero,0.26,0.366,0.038,-0.413
Gestion del dinero y ahorro personal,-0.008,-0.094,-0.045,0.09
Toma de decisiones financieras en riesgo,0.274,0.533,-0.111,-0.465
Comprension de productos financieros complejos,-0.032,-0.137,0.048,0.089
Planificacion financiera a largo plazo,0.03,0.304,0.08,-0.261
Acceso y uso de servicios financieros,0.242,0.284,-0.056,-0.303
Experiencias financieras en el hogar,0.172,0.105,0.035,-0.184
Trayectoria y nivel educativo del estudiante,0.29,0.056,-0.07,-0.168
